Surface,Route,Current Audio,Sponsor Audio Opportunity,Opportunity Type,Revenue Impact,Implementation Complexity,User Value,Status
Game Shows,/games/[id],"Correct/Incorrect/Winner sounds","Sponsor sonic logo + announcer intro: 'Powered by [Sponsor]'",Sonic Branding + Commentary,HIGH,MEDIUM,"Reinforces sponsor presence during high-engagement moments",READY
Monthly Idol,/vote/idol,"Host dialogue + crowd + results sounds","Sponsor ID in host commentary + judge intro + commercial break before voting",Integrated Commentary + Commercial Break,VERY HIGH,HIGH,"Official event, premium positioning, continuous sponsor mention",READY
Battle Arena,/battles/live,"Battle sting + crowd + voting sounds","Sponsor sonic logo before round start sting; battle intro includes sponsor name",Sonic Branding + Intro,HIGH,MEDIUM,"High-frequency sponsor exposure, emotional peak moments",READY
Cypher Arena,/cypher/create,"Round sounds + crowd + rotation","Sponsor tag on cypher start + 'Brought to you by' between rounds",Intro + Transitions,HIGH,MEDIUM,"Rotation-based events, natural sponsor messaging points",READY
Challenge Arena,/challenges/[id],"Challenge start + timing + results","Sponsor name in challenge brief + sonic logo on start/finish",Narration + Sonic,MEDIUM,MEDIUM,"Shorter events, high-intensity moments",READY
Radio Stations,/radio/[genre],"DJ placeholder + music + transitions","Full integration: DJ intro mentions sponsor, commercial break (30-60s), sponsor mentions in transitions",DJ Commentary + Commercial Break + Transitions,VERY HIGH,HIGH,"Rule 25 infrastructure, every 15-20 min exposure, highly monetizable",PLANNED
Live Rooms,/live/rooms/[id],"Crowd ambience + host if present","Host welcome includes sponsor + sponsor audio cue on room entry + exit stings",Entry/Exit + Ongoing,MEDIUM,HIGH,"Every audience member hears sponsor, continuous exposure",READY
World Concert,/concerts/[id],"Concert intro + stage audio + transitions","Sponsor sonic logo in stage intro + stage lighting sponsor branding + transition stings",Sonic Branding + Visual,HIGH,MEDIUM,"Premium event, emotional performance moments, strong association",READY
Battles (Voting),/battles/live,"Vote feedback sounds","Sponsor sting before vote results announced",Vote Moment,MEDIUM,LOW,"High-frequency trigger, every vote is a sponsor touch",READY
Dirty Dozens,/dirty-dozens,"Tournament sounds + bracket transitions","Sponsor ID at tournament start + sponsor announcer in round transitions + finalist intro",Tournament Structure,HIGH,MEDIUM,"Championship energy, natural sponsor positioning",READY
