Category,System A,Status A,System B,Status B,Canonical Choice,Rationale,Merge Priority,Evidence,Conversion Complexity
Playlist/Media,PlaylistEngine.ts,ACTIVE,PlaylistPlayer.tsx,ACTIVE,PlaylistEngine (backend) + PlaylistPlayer (UI wrapper),Backend engine handles logic; UI is thin wrapper. Keep both but ensure single source of truth for metadata.,MEDIUM,"PlaylistEngine: lib/media/PlaylistEngine.ts; PlaylistPlayer: components/media/PlaylistPlayer.tsx","Split data model: PlaylistEngine owns DB/state, PlaylistPlayer owns render only"
Playlist/Media,MediaPlayer.tsx,ACTIVE,TripleMediaPanel.tsx,ORPHAN_DRAFT,MediaPlayer (canonical),MediaPlayer is actively used; TripleMediaPanel is experimental draft from earlier iteration. Delete TripleMediaPanel.,HIGH,"MediaPlayer used in 12+ surfaces; TripleMediaPanel only in admin draft routes","Delete TripleMediaPanel.tsx entirely (no active users)"
Avatar System,AvatarCreator.tsx,ACTIVE,AvatarCustomizer.tsx,ACTIVE,AvatarCreator (canonical),AvatarCreator is main entry point; AvatarCustomizer is refinement UI. Ensure data sync.,MEDIUM,"AvatarCreator: components/AvatarCreator.tsx; AvatarCustomizer: components/AvatarCustomizer.tsx","Merge customizer as child flow within creator"
Avatar System,AvatarLobbyCanvas.tsx,CONFLICT (3 copies),AvatarLobbyCanvas.tsx,CONFLICT (3 copies),Audit and consolidate into one,Found 3 identical files in different directories. Consolidate to single canonical location.,CRITICAL,"Found at: components/avatars/, components/lobbies/, apps/web/src/components/","Move to components/avatars/AvatarLobbyCanvas.tsx; update all imports; delete duplicates"
Audience/Seating,audienceRuntimeEngine.ts,ACTIVE,SeatingMeshEngine.ts,ACTIVE,audienceRuntimeEngine (canonical) + inherit SeatingMeshEngine capabilities,Converged 2026-06-20: SeatingMeshEngine had seat-reclaim + client-persist capabilities missing from canonical. Inherited into canonical via useSeatSession hook.,COMPLETED,"audienceRuntimeEngine: lib/live/audienceRuntimeEngine.ts; SeatingMeshEngine capabilities inherited; /api/live/seat-presence merged","Already converged in Phase 1 (2026-06-20)"
Audience/Seating,tmiFanAvatarSeatAssignment.ts,ACTIVE,tmiAudienceSeatPresenceEngine.ts,ACTIVE,Converge into audienceRuntimeEngine (canonical),Both are thin wrappers around audienceRuntimeEngine. Delete duplicates; import canonical directly.,HIGH,"Both in lib/live/; verify no unique logic","Delete thin wrappers; update all callers to use audienceRuntimeEngine"
Audience/Seating,ShowRoomEnvironmentShell.tsx,ACTIVE,ArenaEventShell.tsx,ACTIVE,ArenaEventShell (canonical) for battles/cyphers/challenges; ShowRoomEnvironmentShell (legacy) for Monthly Idol only,ShowRoomEnvironmentShell uses custom occupancy-percent model (no seat objects). Low priority to converge; isolate Monthly Idol usage only.,LOW,"ShowRoomEnvironmentShell: components/shows/; ArenaEventShell: components/events/","Document as Monthly Idol-specific; mark ShowRoomEnvironmentShell as Legacy; prioritize conversion post-launch"
Discovery,DiscoveryRail.tsx,ACTIVE,DiscoveryRailCanonical.tsx,ACTIVE,DiscoveryRailCanonical (newer),Canonicalization Phase 1 built DiscoveryRailCanonical as unified version. Replace all DiscoveryRail calls with DiscoveryRailCanonical.,MEDIUM,"DiscoveryRail: components/discovery/; DiscoveryRailCanonical: lib/discovery/DiscoveryRailCanonical.tsx","Update all imports; mark DiscoveryRail as LEGACY; confirm DiscoveryRailCanonical output matches old version"
Discovery,UnifiedDiscoveryEngine.ts,ACTIVE,DiscoveryEngine.ts,ORPHAN,UnifiedDiscoveryEngine (canonical),Canonicalization Phase 1 built UnifiedDiscoveryEngine. DiscoveryEngine is orphan. Delete DiscoveryEngine.,HIGH,"UnifiedDiscoveryEngine: lib/discovery/; DiscoveryEngine: likely orphan or duplicate","Delete DiscoveryEngine; verify no imports"
Analytics,AnalyticsEngine.ts,ACTIVE,AnalyticsEngineV2.ts,EXPERIMENTAL,AnalyticsEngine (canonical),V2 is experimental. Consolidate any V2 improvements into canonical v1; delete V2 if no unique value.,MEDIUM,"AnalyticsEngine: lib/analytics/; AnalyticsEngineV2: likely separate branch","Audit V2 for improvements; merge if valuable, delete if not"
Memory/Moments,MemoryWallCanister.tsx,ACTIVE,ActivityTimelineCanister.tsx,ACTIVE,Keep both (different purposes),Memory Wall = personal moments + captures; Activity Timeline = public feed of events. Not true duplicates; contextualize each surface's use.,LOW,"MemoryWallCanister: components/canisters/; ActivityTimelineCanister: components/canisters/","Document when to use each; ensure shared underlying moment data model (Prisma)"
Messaging,MessageEngine.ts,ACTIVE,ChatSystem.tsx,ACTIVE,MessageEngine (backend) + ChatSystem (UI wrapper),Same split as Playlist. Backend owns logic; UI renders. Keep both but ensure single data source.,MEDIUM,"MessageEngine: lib/messaging/; ChatSystem: components/chat/","Split: Engine = logic, ChatSystem = thin render wrapper"
Live Rooms,VenueImmersiveRoom.tsx,ACTIVE,UniversalVenueRenderer.tsx,ACTIVE,UniversalVenueRenderer (canonical),Convergence Phase 2 built UniversalVenueRenderer as unified venue runtime. Replace VenueImmersiveRoom calls with UniversalVenueRenderer.,MEDIUM,"VenueImmersiveRoom: app/live/rooms/; UniversalVenueRenderer: components/venues/","Verify UniversalVenueRenderer has all VenueImmersiveRoom features; redirect route; mark VenueImmersiveRoom LEGACY"
Events,ArenaEventShell.tsx,ACTIVE,CypherRuntimeShell.tsx,ACTIVE,ArenaEventShell (canonical mode: 'cypher'),ArenaEventShell accepts mode prop. Consolidate CypherRuntimeShell as mode='cypher' into ArenaEventShell.,MEDIUM,"ArenaEventShell: components/events/; CypherRuntimeShell: components/events/","Pass mode='cypher' to ArenaEventShell; delete CypherRuntimeShell; update /cypher routes"
