Surface,Route,Component File,Sponsor Slots,Ad Slots,Audio Sponsor Eligible,House Ad Eligible,Opportunity Engine Eligible,Current Fallback,Revenue Status,Empty State,Notes
Home 1,/home/1,Home1CoverPage.tsx,8,0,No,Yes,Yes,Sponsor Rail + Platform Promos,LIVE,No,"8 zones (home-1-sp-0 through sp-7) use getAdSlotForZone fallback chain"
Home 1-2,/home/1-2,Home12SpreadSurface.tsx,4,2,No,Yes,Yes,UnifiedAdSlot + SponsorRail,LIVE,No,"Billboard + Discovery; some orphan slots not yet wired"
Home 2,/home/2,MagazineHomeSurface.tsx,2,1,No,Yes,Yes,Magazine lead + Ad Rail,LIVE,No,"Magazine discovery rail; article placements"
Home 3,/home/3,Home3LiveWorldSurface.tsx,4,1,Yes,Yes,Yes,Live room preview panel + Ad slots,LIVE,No,"Live lobby wall, room discovery; audio sponsor eligible in broadcast"
Home 4,/home/4,Home4AdMagazine.tsx,2,2,No,Yes,Yes,Marketplace + Sponsor strip,LIVE,No,"Marketplace focus; minimal ad inventory"
Home 5,/home/5,Home5BattleCypherSurface.tsx,3,2,Yes,Yes,Yes,Battle/Cypher arena + sponsor branding,LIVE,No,"Competition events; audio sponsor eligible in arena broadcast"
Fan HQ,/hub/fan,FanHQShell.tsx,2,1,No,Yes,No,Discovery rail + opportunity dock,LIVE,Yes,"Discovery rail present; opportunity dock documented (no current revenue wiring)"
Performer HQ,/hub/performer,PerformerHQShell.tsx,3,1,Yes,Yes,Yes,Opportunity dock + booking rail + sponsor bar,LIVE,Yes,"GO LIVE + camera + upload + opportunity dock + sponsor bar wired"
Venue HQ,/hub/venue,VenueHQShell.tsx,2,1,No,Yes,No,Seating schema + event listings,LIVE,Yes,"Venue operator dashboard; no current ad inventory"
Sponsor HQ,/hub/sponsor,SponsorHQShell.tsx,0,0,No,No,No,Sponsor operations only,LIVE,Yes,"Sponsor management; not a consumer-facing surface for ads"
Advertiser HQ,/hub/advertiser,AdvertiserHQShell.tsx,0,0,No,No,No,Campaign management only,LIVE,Yes,"Campaign operator; not a consumer-facing surface for ads"
Magazine Article,/magazine/article/[slug],MagazineArticlePage.tsx,2,1,No,Yes,Yes,Article + Related + Sponsor discovery,LIVE,No,"Performer article hub (Rule 13); discovery rail present"
Live Rooms,/live/rooms/[id],VenueImmersiveRoom.tsx,3,1,Yes,Yes,Yes,Broadcast preview + chat sponsorship + bottom panel,LIVE,No,"VenueHUDOverlay has sponsor bar; audio sponsor during live broadcast eligible"
Performer Profile,/performers/[slug],PerformerProfilePage.tsx,2,0,No,Yes,Yes,Playlist + Merch + Discovery rail,LIVE,No,"Profile hub (Rule 13); booking/store/memory/message canisters present"
Fan Profile,/profile/fan/[slug],FanProfilePage.tsx,1,0,No,Yes,No,Fan collections + memory wall,LIVE,Yes,"Fan profile; limited monetization surface"
Lobby Entry,/live/lobby,LobbyEntryFlow.tsx,2,0,No,Yes,Yes,Avatar lounge + sponsor branding,LIVE,Yes,"Entry point before room assignment; sponsor overlay possible"
Battles Arena,/battles/live or /games/[id],ArenaEventShell.tsx,4,1,Yes,Yes,Yes,Battle broadcast + sponsor branding + team overlays,LIVE,No,"Competition event; audio sponsor in arena commentary eligible"
Cypher Arena,/cypher/create,CypherRuntimeShell.tsx,4,1,Yes,Yes,Yes,Cypher broadcast + sponsor branding,LIVE,No,"Rotation event; audio sponsor eligible"
Challenge Arena,/challenges/[id],ChallengeRuntimeShell.tsx,2,1,Yes,Yes,Yes,Challenge broadcast + sponsor integration,LIVE,No,"Mini-challenges; audio sponsor in narration"
Monthly Idol,/idol/live or /vote/idol,MonthlyIdolShell.tsx,6,1,Yes,Yes,Yes,"Judge panel + stage + sponsor integration + broadcast",ACTIVE,No,"Official branded event; audio sponsor in host commentary, stage branding"
Dirty Dozens,/dirty-dozens,DirtyDozensShell.tsx,4,1,Yes,Yes,Yes,Tournament bracket + sponsor branding,LIVE,No,"Championship format; audio sponsor in host narration"
Game Shows,/games/[id],GameShowRuntimeShell.tsx,3,1,Yes,Yes,Yes,"Game board + host + sponsor integration + broadcast",BETA,No,"Deal or Feud, Name That Tune variants; audio sponsor eligible"
World Concert,/concerts/[id],WorldConcertShell.tsx,5,1,Yes,Yes,Yes,"Stage + venue skins + sponsor branding + lighting effects",LIVE,No,"Multi-act concert; audio sponsor in broadcast transitions"
World Dance Party,/dance-party/[id],DancePartyShell.tsx,2,1,Yes,Yes,Yes,"DJ stage + dance floor + audio mixer + sponsor branding",LIVE,No,"Participatory event; audio sponsor in DJ introduction/transitions"
Radio Station,/radio/[genre],SocialRadioRoomEngine.tsx,6,1,Yes,Yes,Yes,"DJ announcements + song rotation + commercial breaks + sponsor mentions",PLANNED,Yes,"Radio network (Rule 25); audio sponsor integrated into DJ dialogue; commercial break placement"
Beat Marketplace,/beat-marketplace,BeatStoreCommerceEngine.tsx,2,1,No,Yes,No,"Featured producers + filter + sponsor showcase",LIVE,Yes,"Producer & beat discovery; limited monetization (no active sponsor integration yet)"
Ticket Center,/ticketing or /tickets,TicketingCenter.tsx,1,0,No,Yes,No,"Ticket browsing + venue discovery",LIVE,Yes,"Ticket inventory system; no current ad/sponsor placement"
Cart & Checkout,/cart or /checkout,CheckoutFlow.tsx,0,1,No,Yes,No,Stripe checkout only,LIVE,Yes,"Payment processing; no sponsor integration (maintain clean checkout UX)"
Admin Observatory,/admin/observatory,OverseerDeck.tsx,0,1,No,Yes,No,Admin telemetry only,LIVE,No,"8-monitor wall; admin-only surface, no public monetization"
